id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344432402098229253,1344335198184419328,2020-12-31 00:57:17 CET,2020-12-31,00:57:17,+0100,1109187537069850625,bagayokoissiak1,Bagayoko Issiaka,,@MelEssisKouadio @p_affi @AOuattara_PRCI @FarafinaW @LeaderNewsCI @justinthetim @ChristYobo @le_brouteur @Rue80Com @AnnaToure225 @Diaspo225 @AlexFre37328341 @michaelgbagbo2 C'est inhumain d'empêcher une femme enceinte d'aller a l'hôpital pour l'accouchement a cause d'un mot d'ordre d'un politiciens malheureux et médiocre,fr,[],[],[],1,0,0,[],[],https://twitter.com/BagayokoIssiak1/status/1344432402098229253,False,,0,,,,,,,,"[{'screen_name': 'MelEssisKouadio', 'name': 'Mel Essis Kouadio', 'id': '1222132185458794498'}, {'screen_name': 'p_affi', 'name': ""AFFI N'GUESSAN P."", 'id': '723250741050269696'}, {'screen_name': 'AOuattara_PRCI', 'name': 'Alassane Ouattara', 'id': '86037380'}, {'screen_name': 'FarafinaW', 'name': 'Farafina Wamy', 'id': '825826944465903621'}, {'screen_name': 'LeaderNewsCI', 'name': 'Leader News🇨🇮', 'id': '3882160703'}, {'screen_name': 'justinthetim', 'name': ""yao n'guessan justin"", 'id': '2589324762'}, {'screen_name': 'ChristYobo', 'name': 'Yobo Christ', 'id': '1284462598457626625'}, {'screen_name': 'le_brouteur', 'name': 'LE BROUTEUR🇨🇮', 'id': '726695990728744960'}, {'screen_name': 'Rue80Com', 'name': ""Rue80.com (l'info relayée autrement)"", 'id': '888723518447394816'}, {'screen_name': 'AnnaToure225', 'name': 'Anna Touré', 'id': '1252985186704404480'}, {'screen_name': 'Diaspo225', 'name': 'Diaspo.225', 'id': '1240239530793451521'}, {'screen_name': 'AlexFre37328341', 'name': 'Alex Frey', 'id': '1323889611895115776'}, {'screen_name': 'michaelgbagbo2', 'name': 'Michael gbagbo', 'id': '773668242'}]",,,,
1344432031414046722,1344432031414046722,2020-12-31 00:55:49 CET,2020-12-31,00:55:49,+0100,1310626169885163520,amelie_cheriiie,Amel 💃🏾,,On viens de faire un accouchement à 4 main avec un papa 🥳,fr,[],[],[],1,0,2,[],[],https://twitter.com/amelie_cheriiie/status/1344432031414046722,False,,0,,,,,,,,[],,,,
1344428087589695488,1344427847415377921,2020-12-31 00:40:09 CET,2020-12-31,00:40:09,+0100,1307234115671019520,fians0dz,So🇩🇿,,@ibti_ssemm Faudrai les interdire jusqu’à l’accouchement,fr,[],[],[],1,0,1,[],[],https://twitter.com/fians0dz/status/1344428087589695488,False,,0,,,,,,,,"[{'screen_name': 'ibti_ssemm', 'name': '🇩🇿إبتسام', 'id': '1301870512671514624'}]",,,,
1344426722352123904,1344340332897558530,2020-12-31 00:34:43 CET,2020-12-31,00:34:43,+0100,1233388966260486144,qqiine,Tata Qqiine,,"@BrouetteD 🤣🤣🤣 Rien qu’avec 1 accouchement, il tiendra pas le coup!",fr,[],[],[],0,0,1,[],[],https://twitter.com/qqiine/status/1344426722352123904,False,,0,,,,,,,,"[{'screen_name': 'BrouetteD', 'name': 'Ta dignité dans une brouette', 'id': '1159411367025291266'}]",,,,
1344419580161236997,1344419580161236997,2020-12-31 00:06:20 CET,2020-12-31,00:06:20,+0100,1294307837733216259,amandinemontan1,amandine🏹,,Ducoup les hommes il s’est passé comment votre accouchement pour pour dire qu’une femme doit avorté ou pas ? Vous avez souffert ? C’est le plus beau cadeau de donner la vie mais pas pour tout le monde. #Argentina #Argentine #avortement,fr,[],[],[],0,0,0,"['argentina', 'argentine', 'avortement']",[],https://twitter.com/amandinemontan1/status/1344419580161236997,False,,0,,,,,,,,[],,,,
1344417163361312768,1344417163361312768,2020-12-30 23:56:44 CET,2020-12-30,23:56:44,+0100,1093593426359173121,_claraaamel_,ᴄƖαяα 💕,,"bah ils veulent pas d’un truc chiant qui pleure pcq il a faim, pcq ses dents poussent, ils veulent pas pcq l’accouchement fait mal, pcq elles peuvent mourir, pcq elles n’ont pas assez d’argent pour subvenir à un enfant, pcq elles arrivent peut-être pas à se gérer elles mêmes",fr,[],[],[],2,0,0,[],[],https://twitter.com/_claraaamel_/status/1344417163361312768,False,https://twitter.com/nehluxe/status/1344259279549833216,0,,,,,,,,[],,,,
1344416200143601664,1344416200143601664,2020-12-30 23:52:54 CET,2020-12-30,23:52:54,+0100,898471489,_melancolica,Miazinha 🥀,,Prendre le risque de mourir ou avoir des complications pdt l'accouchement... Vous parlez comme si accoucher c'était une partie de carte et sans conséquences pour le moral et le corps d'une femme... Vrmt abstenez vous surtout qd vous n'accoucherez sûrement jamais,fr,[],[],[],0,0,0,[],[],https://twitter.com/_Melancolica/status/1344416200143601664,False,https://twitter.com/tanjirocatho/status/1344332912318152705,0,,,,,,,,[],,,,
1344414066006228992,1344275402521534467,2020-12-30 23:44:25 CET,2020-12-30,23:44:25,+0100,1328400235530477569,louise92288819,Louise,,"@braahbraa @Margueritestern Non sérieux et tes règles comment ca se passe tous les mois !? Est ce que tu as été mise au placards suite à ton accouchement ou pas ? Je parie c'est bob qui as eu la promotion ? Au fait, la césarienne pour les jumeaux pas de complication ?",fr,[],[],[],1,0,14,[],[],https://twitter.com/Louise92288819/status/1344414066006228992,False,,0,,,,,,,,"[{'screen_name': 'braahbraa', 'name': 'wakewokewoken', 'id': '710936146'}, {'screen_name': 'Margueritestern', 'name': 'Marguerite Stern', 'id': '320896444'}]",,,,
1344413074279772163,1344269168313556992,2020-12-30 23:40:29 CET,2020-12-30,23:40:29,+0100,1328400235530477569,louise92288819,Louise,,"@braahbraa @Margueritestern Non sérieux et tes règles comment ca se passe tous les mois !? Est ce que tu as été mise au placards suite à ton accouchement ou pas ? Je parie c'est bob qui as eu la promotion ? Au fait, la césarienne pour les jumeaux pas de complication ?",fr,[],[],[],0,0,3,[],[],https://twitter.com/Louise92288819/status/1344413074279772163,False,,0,,,,,,,,"[{'screen_name': 'braahbraa', 'name': 'wakewokewoken', 'id': '710936146'}, {'screen_name': 'Margueritestern', 'name': 'Marguerite Stern', 'id': '320896444'}]",,,,
1344411171403739138,1344411133684420609,2020-12-30 23:32:55 CET,2020-12-30,23:32:55,+0100,4830259078,lamyaeel17,Lamyae,,"Cependant, si la femme veut un accouchement onéreux comme un accouchement dans un des hôpitaux les plus coûteux, ou encore organiser de luxueuses réceptions dans sa chambre d’hôpital, alors il n’est pas obligatoire au mari de payer cela.  🗓 le 13 jumaada al oula 1442 هـ",fr,[],[],[],1,1,0,[],[],https://twitter.com/lamyaeel17/status/1344411171403739138,False,,0,,,,,,,,[],,,,
